image_filename,label
image_1.jpg,5
image_2.jpg,0
image_3.jpg,4
image_4.jpg,1
image_5.jpg,9
image_6.jpg,2
image_7.jpg,1
image_8.jpg,3
image_9.jpg,1
image_10.jpg,4
image_11.jpg,3
image_12.jpg,5
image_13.jpg,3
image_14.jpg,6
image_15.jpg,1
image_16.jpg,7
image_17.jpg,2
image_18.jpg,8
image_19.jpg,6
image_20.jpg,9
image_21.jpg,4
image_22.jpg,0
image_23.jpg,9
image_24.jpg,1
image_25.jpg,1
image_26.jpg,2
image_27.jpg,4
image_28.jpg,3
image_29.jpg,2
image_30.jpg,7
image_31.jpg,3
image_32.jpg,8
image_33.jpg,6
image_34.jpg,9
image_35.jpg,0
image_36.jpg,5
image_37.jpg,6
image_38.jpg,0
image_39.jpg,7
image_40.jpg,6
image_41.jpg,1
image_42.jpg,8
image_43.jpg,7
image_44.jpg,9
image_45.jpg,3
image_46.jpg,9
image_47.jpg,8
image_48.jpg,5
image_49.jpg,9
image_50.jpg,3
image_51.jpg,3
image_52.jpg,0
image_53.jpg,7
image_54.jpg,4
image_55.jpg,9
image_56.jpg,8
image_57.jpg,0
image_58.jpg,9
image_59.jpg,4
image_60.jpg,1
image_61.jpg,4
image_62.jpg,4
image_63.jpg,6
image_64.jpg,0
image_65.jpg,4
image_66.jpg,5
image_67.jpg,6
image_68.jpg,1
image_69.jpg,0
image_70.jpg,0
image_71.jpg,1
image_72.jpg,7
image_73.jpg,1
image_74.jpg,6
image_75.jpg,3
image_76.jpg,0
image_77.jpg,2
image_78.jpg,1
image_79.jpg,1
image_80.jpg,7
image_81.jpg,9
image_82.jpg,0
image_83.jpg,2
image_84.jpg,6
image_85.jpg,7
image_86.jpg,8
image_87.jpg,3
image_88.jpg,9
image_89.jpg,0
image_90.jpg,4
image_91.jpg,6
image_92.jpg,7
image_93.jpg,4
image_94.jpg,6
image_95.jpg,8
image_96.jpg,0
image_97.jpg,7
image_98.jpg,8
image_99.jpg,3
image_100.jpg,1
image_101.jpg,5
image_102.jpg,7
image_103.jpg,1
image_104.jpg,7
image_105.jpg,1
image_106.jpg,1
image_107.jpg,6
image_108.jpg,3
image_109.jpg,0
image_110.jpg,2
image_111.jpg,9
image_112.jpg,3
image_113.jpg,1
image_114.jpg,1
image_115.jpg,0
image_116.jpg,4
image_117.jpg,9
image_118.jpg,2
image_119.jpg,0
image_120.jpg,0
image_121.jpg,2
image_122.jpg,0
image_123.jpg,2
image_124.jpg,7
image_125.jpg,1
image_126.jpg,8
image_127.jpg,6
image_128.jpg,4
image_129.jpg,1
image_130.jpg,6
image_131.jpg,3
image_132.jpg,4
image_133.jpg,5
image_134.jpg,9
image_135.jpg,1
image_136.jpg,3
image_137.jpg,3
image_138.jpg,8
image_139.jpg,5
image_140.jpg,4
image_141.jpg,7
image_142.jpg,7
image_143.jpg,4
image_144.jpg,2
image_145.jpg,8
image_146.jpg,5
image_147.jpg,8
image_148.jpg,6
image_149.jpg,7
image_150.jpg,3
image_151.jpg,4
image_152.jpg,6
image_153.jpg,1
image_154.jpg,9
image_155.jpg,9
image_156.jpg,6
image_157.jpg,0
image_158.jpg,3
image_159.jpg,7
image_160.jpg,2
image_161.jpg,8
image_162.jpg,2
image_163.jpg,9
image_164.jpg,4
image_165.jpg,4
image_166.jpg,6
image_167.jpg,4
image_168.jpg,9
image_169.jpg,7
image_170.jpg,0
image_171.jpg,9
image_172.jpg,2
image_173.jpg,9
image_174.jpg,5
image_175.jpg,1
image_176.jpg,5
image_177.jpg,9
image_178.jpg,1
image_179.jpg,2
image_180.jpg,3
image_181.jpg,2
image_182.jpg,3
image_183.jpg,5
image_184.jpg,9
image_185.jpg,1
image_186.jpg,7
image_187.jpg,6
image_188.jpg,2
image_189.jpg,8
image_190.jpg,2
image_191.jpg,2
image_192.jpg,5
image_193.jpg,0
image_194.jpg,7
image_195.jpg,4
image_196.jpg,9
image_197.jpg,7
image_198.jpg,8
image_199.jpg,3
image_200.jpg,2
image_201.jpg,1
image_202.jpg,1
image_203.jpg,8
image_204.jpg,3
image_205.jpg,6
image_206.jpg,1
image_207.jpg,0
image_208.jpg,3
image_209.jpg,1
image_210.jpg,0
image_211.jpg,0
image_212.jpg,1
image_213.jpg,7
image_214.jpg,2
image_215.jpg,7
image_216.jpg,3
image_217.jpg,0
image_218.jpg,4
image_219.jpg,6
image_220.jpg,5
image_221.jpg,2
image_222.jpg,6
image_223.jpg,4
image_224.jpg,7
image_225.jpg,1
image_226.jpg,8
image_227.jpg,9
image_228.jpg,9
image_229.jpg,3
image_230.jpg,0
image_231.jpg,7
image_232.jpg,1
image_233.jpg,0
image_234.jpg,2
image_235.jpg,0
image_236.jpg,3
image_237.jpg,5
image_238.jpg,4
image_239.jpg,6
image_240.jpg,5
image_241.jpg,8
image_242.jpg,6
image_243.jpg,3
image_244.jpg,7
image_245.jpg,5
image_246.jpg,8
image_247.jpg,0
image_248.jpg,9
image_249.jpg,1
image_250.jpg,0
image_251.jpg,3
image_252.jpg,1
image_253.jpg,2
image_254.jpg,2
image_255.jpg,3
image_256.jpg,3
image_257.jpg,6
image_258.jpg,4
image_259.jpg,7
image_260.jpg,5
image_261.jpg,0
image_262.jpg,6
image_263.jpg,2
image_264.jpg,7
image_265.jpg,9
image_266.jpg,8
image_267.jpg,5
image_268.jpg,9
image_269.jpg,2
image_270.jpg,1
image_271.jpg,1
image_272.jpg,4
image_273.jpg,4
image_274.jpg,5
image_275.jpg,6
image_276.jpg,4
image_277.jpg,1
image_278.jpg,2
image_279.jpg,5
image_280.jpg,3
image_281.jpg,9
image_282.jpg,3
image_283.jpg,9
image_284.jpg,0
image_285.jpg,5
image_286.jpg,9
image_287.jpg,6
image_288.jpg,5
image_289.jpg,7
image_290.jpg,4
image_291.jpg,1
image_292.jpg,3
image_293.jpg,4
image_294.jpg,0
image_295.jpg,4
image_296.jpg,8
image_297.jpg,0
image_298.jpg,4
image_299.jpg,3
image_300.jpg,6
image_301.jpg,8
image_302.jpg,7
image_303.jpg,6
image_304.jpg,0
image_305.jpg,9
image_306.jpg,7
image_307.jpg,5
image_308.jpg,7
image_309.jpg,2
image_310.jpg,1
image_311.jpg,1
image_312.jpg,6
image_313.jpg,8
image_314.jpg,9
image_315.jpg,4
image_316.jpg,1
image_317.jpg,5
image_318.jpg,2
image_319.jpg,2
image_320.jpg,9
image_321.jpg,0
image_322.jpg,3
image_323.jpg,9
image_324.jpg,6
image_325.jpg,7
image_326.jpg,2
image_327.jpg,0
image_328.jpg,3
image_329.jpg,5
image_330.jpg,4
image_331.jpg,3
image_332.jpg,6
image_333.jpg,5
image_334.jpg,8
image_335.jpg,9
image_336.jpg,5
image_337.jpg,4
image_338.jpg,7
image_339.jpg,4
image_340.jpg,2
image_341.jpg,7
image_342.jpg,3
image_343.jpg,4
image_344.jpg,8
image_345.jpg,9
image_346.jpg,1
image_347.jpg,9
image_348.jpg,2
image_349.jpg,8
image_350.jpg,7
image_351.jpg,9
image_352.jpg,1
image_353.jpg,8
image_354.jpg,7
image_355.jpg,4
image_356.jpg,1
image_357.jpg,3
image_358.jpg,1
image_359.jpg,1
image_360.jpg,0
image_361.jpg,2
image_362.jpg,3
image_363.jpg,9
image_364.jpg,4
image_365.jpg,9
image_366.jpg,2
image_367.jpg,1
image_368.jpg,6
image_369.jpg,8
image_370.jpg,4
image_371.jpg,7
image_372.jpg,7
image_373.jpg,4
image_374.jpg,4
image_375.jpg,9
image_376.jpg,2
image_377.jpg,5
image_378.jpg,7
image_379.jpg,2
image_380.jpg,4
image_381.jpg,4
image_382.jpg,2
image_383.jpg,1
image_384.jpg,9
image_385.jpg,7
image_386.jpg,2
image_387.jpg,8
image_388.jpg,7
image_389.jpg,6
image_390.jpg,9
image_391.jpg,2
image_392.jpg,2
image_393.jpg,3
image_394.jpg,8
image_395.jpg,1
image_396.jpg,6
image_397.jpg,5
image_398.jpg,1
image_399.jpg,1
image_400.jpg,0
image_401.jpg,2
image_402.jpg,6
image_403.jpg,4
image_404.jpg,5
image_405.jpg,8
image_406.jpg,3
image_407.jpg,1
image_408.jpg,5
image_409.jpg,1
image_410.jpg,9
image_411.jpg,2
image_412.jpg,7
image_413.jpg,4
